,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
4526,4743387,2017-06-21 20:14:51.480,CA,AB,Airdrie,51.2889,-114.015,2.3184858869626574,POI1
4528,4743504,2017-06-21 09:14:50.180,CA,ON,Toronto,43.6459,-79.3857,6.114490005422939,POI3
4529,4743522,2017-06-21 01:14:51.013,CA,AB,Spruce Grove,53.5614,-113.87301000000001,0.3875754693798355,POI1
4530,4743555,2017-06-21 20:14:51.300,CA,AB,Airdrie,51.2889,-114.015,2.3184858869626574,POI1
4531,4743632,2017-06-21 04:14:52.170,CA,MB,Gillam,56.36036,-94.71396,18.981548444432168,POI1
4532,4743682,2017-06-21 17:14:52.430,CA,AB,Fort Mackay,57.32909,-111.75582,4.159700574719892,POI1
4533,4743764,2017-06-21 10:14:53.140,CA,AB,Edmonton,53.51831,-113.638,0.15479324017863133,POI1
4534,4743820,2017-06-21 08:14:53.683,CA,AB,Edmonton,53.57744,-113.54722,0.06898208988569743,POI1
4535,4743889,2017-06-21 22:14:51.020,CA,SK,Regina,50.468,-104.607,9.397181999016787,POI1
4536,4743915,2017-06-21 16:14:51.360,CA,AB,Calgary,51.0481,-114.07,2.565483481772006,POI1
4537,4743925,2017-06-21 09:14:51.853,CA,MB,Gillam,56.36036,-94.71396,18.981548444432168,POI1
4538,4743954,2017-06-21 15:14:52.437,CA,ON,Brampton,43.7033,-79.7603,6.45564679303453,POI3
4539,4743979,2017-06-21 02:14:52.970,CA,AB,Calgary,51.12797,-114.21276,2.5251224793037315,POI1
4540,4744026,2017-06-21 11:14:53.160,CA,AB,Fort Mackay,57.2047,-111.617,4.108166315382692,POI1
4541,4744091,2017-06-21 19:14:53.543,CA,AB,Edmonton,53.44217,-113.4452,0.11161711860195131,POI1
4543,4744228,2017-06-21 04:14:54.997,CA,ON,Cambridge,43.398590000000006,-80.36317,7.120989281050558,POI3
4545,4744371,2017-06-21 08:14:52.067,CA,AB,Calgary,51.1467,-114.3133,2.5381700826471403,POI1
4546,4744455,2017-06-21 20:14:52.433,CA,ON,Brampton,43.7033,-79.7603,6.45564679303453,POI3
4548,4744566,2017-06-21 12:14:51.453,CA,AB,Calgary,51.1467,-114.3133,2.5381700826471403,POI1
4549,4744604,2017-06-21 13:14:52.140,CA,AB,Spruce Grove,53.54628,-113.88183000000001,0.3960960161185669,POI1
